account_id,bank_id
ACC00001,BANK002
ACC00002,BANK002
ACC00003,BANK003
ACC00004,BANK002
ACC00005,BANK004
ACC00006,BANK002
ACC00007,BANK003
ACC00008,BANK004
ACC00009,BANK002
ACC00010,BANK001
ACC00011,BANK001
ACC00012,BANK001
ACC00013,BANK004
ACC00014,BANK003
ACC00015,BANK003
ACC00016,BANK001
ACC00017,BANK002
ACC00018,BANK004
ACC00019,BANK004
ACC00020,BANK001
ACC00021,BANK004
ACC00022,BANK001
ACC00023,BANK001
ACC00024,BANK002
ACC00025,BANK004
ACC00026,BANK001
ACC00027,BANK001
ACC00028,BANK001
ACC00029,BANK003
ACC00030,BANK003
ACC00031,BANK001
ACC00032,BANK003
ACC00033,BANK003
ACC00034,BANK001
ACC00035,BANK002
ACC00036,BANK004
ACC00037,BANK004
ACC00038,BANK001
ACC00039,BANK003
ACC00040,BANK001
ACC00041,BANK004
ACC00042,BANK003
ACC00043,BANK004
ACC00044,BANK004
ACC00045,BANK003
ACC00046,BANK001
ACC00047,BANK002
ACC00048,BANK002
ACC00049,BANK003
ACC00050,BANK002
ACC00051,BANK003
ACC00052,BANK004
ACC00053,BANK003
ACC00054,BANK001
ACC00055,BANK002
ACC00056,BANK001
ACC00057,BANK004
ACC00058,BANK004
ACC00059,BANK004
ACC00060,BANK001
ACC00061,BANK002
ACC00062,BANK004
ACC00063,BANK004
ACC00064,BANK004
ACC00065,BANK004
ACC00066,BANK004
ACC00067,BANK001
ACC00068,BANK003
ACC00069,BANK003
ACC00070,BANK003
ACC00071,BANK001
ACC00072,BANK002
ACC00073,BANK002
ACC00074,BANK004
ACC00075,BANK001
ACC00076,BANK003
ACC00077,BANK004
ACC00078,BANK003
ACC00079,BANK004
ACC00080,BANK002
ACC00081,BANK003
ACC00082,BANK004
ACC00083,BANK002
ACC00084,BANK004
ACC00085,BANK002
ACC00086,BANK003
ACC00087,BANK001
ACC00088,BANK002
ACC00089,BANK001
ACC00090,BANK001
ACC00091,BANK004
ACC00092,BANK003
ACC00093,BANK003
ACC00094,BANK002
ACC00095,BANK001
ACC00096,BANK002
ACC00097,BANK002
ACC00098,BANK003
ACC00099,BANK004
ACC00100,BANK001
ACC00101,BANK001
ACC00102,BANK004
ACC00103,BANK001
ACC00104,BANK004
ACC00105,BANK001
ACC00106,BANK003
ACC00107,BANK003
ACC00108,BANK002
ACC00109,BANK001
ACC00110,BANK004
ACC00111,BANK002
ACC00112,BANK003
ACC00113,BANK003
ACC00114,BANK002
ACC00115,BANK004
ACC00116,BANK003
ACC00117,BANK002
ACC00118,BANK004
ACC00119,BANK001
ACC00120,BANK001
