account_id,device_id
ACC00001,DEV0013
ACC00001,DEV0009
ACC00002,DEV0011
ACC00003,DEV0016
ACC00004,DEV0018
ACC00005,DEV0008
ACC00005,DEV0005
ACC00006,DEV0020
ACC00006,DEV0003
ACC00007,DEV0004
ACC00008,DEV0015
ACC00009,DEV0010
ACC00010,DEV0016
ACC00010,DEV0001
ACC00011,DEV0019
ACC00012,DEV0005
ACC00013,DEV0018
ACC00014,DEV0017
ACC00014,DEV0015
ACC00015,DEV0019
ACC00016,DEV0008
ACC00017,DEV0016
ACC00017,DEV0007
ACC00018,DEV0016
ACC00019,DEV0014
ACC00019,DEV0020
ACC00020,DEV0013
ACC00021,DEV0014
ACC00022,DEV0018
ACC00022,DEV0004
ACC00023,DEV0006
ACC00024,DEV0001
ACC00024,DEV0013
ACC00025,DEV0007
ACC00026,DEV0002
ACC00026,DEV0020
ACC00027,DEV0003
ACC00028,DEV0019
ACC00029,DEV0007
ACC00029,DEV0011
ACC00030,DEV0011
ACC00030,DEV0003
ACC00031,DEV0018
ACC00032,DEV0008
ACC00033,DEV0018
ACC00034,DEV0018
ACC00035,DEV0007
ACC00035,DEV0009
ACC00036,DEV0002
ACC00036,DEV0001
ACC00037,DEV0018
ACC00037,DEV0001
ACC00038,DEV0019
ACC00038,DEV0018
ACC00039,DEV0002
ACC00039,DEV0012
ACC00040,DEV0018
ACC00040,DEV0014
ACC00041,DEV0006
ACC00042,DEV0004
ACC00043,DEV0010
ACC00043,DEV0008
ACC00044,DEV0009
ACC00044,DEV0003
ACC00045,DEV0004
ACC00046,DEV0012
ACC00046,DEV0011
ACC00047,DEV0002
ACC00047,DEV0014
ACC00048,DEV0014
ACC00048,DEV0003
ACC00049,DEV0014
ACC00049,DEV0011
ACC00050,DEV0013
ACC00050,DEV0006
ACC00051,DEV0014
ACC00052,DEV0003
ACC00053,DEV0008
ACC00054,DEV0016
ACC00055,DEV0016
ACC00055,DEV0013
ACC00056,DEV0014
ACC00057,DEV0018
ACC00058,DEV0015
ACC00058,DEV0017
ACC00059,DEV0008
ACC00059,DEV0009
ACC00060,DEV0008
ACC00060,DEV0009
ACC00061,DEV0013
ACC00062,DEV0011
ACC00062,DEV0018
ACC00063,DEV0019
ACC00064,DEV0018
ACC00064,DEV0020
ACC00065,DEV0001
ACC00065,DEV0013
ACC00066,DEV0020
ACC00067,DEV0014
ACC00068,DEV0011
ACC00068,DEV0007
ACC00069,DEV0016
ACC00070,DEV0003
ACC00071,DEV0008
ACC00072,DEV0009
ACC00072,DEV0012
ACC00073,DEV0004
ACC00073,DEV0019
ACC00074,DEV0007
ACC00074,DEV0003
ACC00075,DEV0012
ACC00076,DEV0014
ACC00077,DEV0014
ACC00078,DEV0015
ACC00078,DEV0014
ACC00079,DEV0015
ACC00080,DEV0007
ACC00080,DEV0012
ACC00081,DEV0017
ACC00082,DEV0016
ACC00083,DEV0008
ACC00083,DEV0010
ACC00084,DEV0012
ACC00084,DEV0015
ACC00085,DEV0004
ACC00085,DEV0018
ACC00086,DEV0004
ACC00086,DEV0007
ACC00087,DEV0009
ACC00088,DEV0004
ACC00088,DEV0001
ACC00089,DEV0016
ACC00089,DEV0004
ACC00090,DEV0005
ACC00091,DEV0017
ACC00092,DEV0020
ACC00093,DEV0006
ACC00094,DEV0014
ACC00095,DEV0010
ACC00096,DEV0019
ACC00096,DEV0007
ACC00097,DEV0005
ACC00097,DEV0003
ACC00098,DEV0004
ACC00098,DEV0015
ACC00099,DEV0003
ACC00099,DEV0002
ACC00100,DEV0008
ACC00101,DEV0016
ACC00102,DEV0016
ACC00103,DEV0011
ACC00104,DEV0015
ACC00105,DEV0017
ACC00105,DEV0001
ACC00106,DEV0015
ACC00106,DEV0002
ACC00107,DEV0016
ACC00107,DEV0004
ACC00108,DEV0018
ACC00108,DEV0001
ACC00109,DEV0016
ACC00110,DEV0008
ACC00110,DEV0015
ACC00111,DEV0009
ACC00112,DEV0019
ACC00112,DEV0020
ACC00113,DEV0018
ACC00113,DEV0020
ACC00114,DEV0008
ACC00114,DEV0014
ACC00115,DEV0005
ACC00115,DEV0016
ACC00116,DEV0015
ACC00117,DEV0005
ACC00117,DEV0003
ACC00118,DEV0011
ACC00119,DEV0008
ACC00120,DEV0015
ACC00023,DEV_SHARED_000
ACC00094,DEV_SHARED_000
ACC00105,DEV_SHARED_000
ACC00017,DEV_SHARED_000
ACC00014,DEV_SHARED_000
ACC00096,DEV_SHARED_001
ACC00115,DEV_SHARED_001
ACC00108,DEV_SHARED_001
ACC00069,DEV_SHARED_001
ACC00037,DEV_SHARED_001
ACC00080,DEV_SHARED_002
ACC00112,DEV_SHARED_002
ACC00100,DEV_SHARED_002
