account_id,name,account_type,risk_score,created_date
ACC00001,Customer_00001,business,0.0,2024-07-19
ACC00002,Customer_00002,checking,0.0,2025-08-10
ACC00003,Customer_00003,savings,0.0,2022-09-28
ACC00004,Customer_00004,savings,0.0,2024-06-08
ACC00005,Customer_00005,checking,0.0,2022-08-25
ACC00006,Customer_00006,savings,0.0,2025-01-23
ACC00007,Customer_00007,checking,0.0,2022-12-15
ACC00008,Customer_00008,savings,0.0,2024-04-10
ACC00009,Customer_00009,business,0.0,2024-06-11
ACC00010,Customer_00010,checking,0.0,2025-01-06
ACC00011,Customer_00011,checking,0.0,2024-07-30
ACC00012,Customer_00012,business,0.0,2023-03-13
ACC00013,Customer_00013,checking,0.0,2022-12-18
ACC00014,Customer_00014,checking,0.0,2023-09-07
ACC00015,Customer_00015,savings,0.0,2025-07-24
ACC00016,Customer_00016,savings,0.0,2025-11-18
ACC00017,Customer_00017,checking,0.0,2025-07-10
ACC00018,Customer_00018,business,0.0,2022-09-09
ACC00019,Customer_00019,savings,0.0,2022-03-24
ACC00020,Customer_00020,business,0.0,2022-04-04
ACC00021,Customer_00021,savings,0.0,2024-11-08
ACC00022,Customer_00022,checking,0.0,2024-07-09
ACC00023,Customer_00023,business,0.0,2025-11-02
ACC00024,Customer_00024,checking,0.0,2025-08-04
ACC00025,Customer_00025,checking,0.0,2022-01-06
ACC00026,Customer_00026,business,0.0,2022-11-18
ACC00027,Customer_00027,savings,0.0,2023-01-27
ACC00028,Customer_00028,savings,0.0,2023-08-29
ACC00029,Customer_00029,savings,0.0,2023-07-28
ACC00030,Customer_00030,checking,0.0,2025-03-09
ACC00031,Customer_00031,business,0.0,2022-10-06
ACC00032,Customer_00032,checking,0.0,2025-03-06
ACC00033,Customer_00033,checking,0.0,2022-11-16
ACC00034,Customer_00034,savings,0.0,2024-06-09
ACC00035,Customer_00035,checking,0.0,2022-07-13
ACC00036,Customer_00036,savings,0.0,2022-05-13
ACC00037,Customer_00037,checking,0.0,2025-01-06
ACC00038,Customer_00038,business,0.0,2025-01-31
ACC00039,Customer_00039,savings,0.0,2025-09-08
ACC00040,Customer_00040,savings,0.0,2022-03-08
ACC00041,Customer_00041,savings,0.0,2024-12-05
ACC00042,Customer_00042,business,0.0,2024-07-12
ACC00043,Customer_00043,savings,0.0,2024-10-20
ACC00044,Customer_00044,business,0.0,2024-11-02
ACC00045,Customer_00045,business,0.0,2023-09-06
ACC00046,Customer_00046,checking,0.0,2025-09-15
ACC00047,Customer_00047,savings,0.0,2023-10-06
ACC00048,Customer_00048,business,0.0,2022-01-26
ACC00049,Customer_00049,business,0.0,2025-03-22
ACC00050,Customer_00050,business,0.0,2025-03-17
ACC00051,Customer_00051,savings,0.0,2024-03-20
ACC00052,Customer_00052,savings,0.0,2023-01-21
ACC00053,Customer_00053,business,0.0,2022-06-13
ACC00054,Customer_00054,savings,0.0,2025-10-13
ACC00055,Customer_00055,checking,0.0,2022-05-23
ACC00056,Customer_00056,business,0.0,2022-01-24
ACC00057,Customer_00057,business,0.0,2023-01-07
ACC00058,Customer_00058,checking,0.0,2025-03-04
ACC00059,Customer_00059,savings,0.0,2023-04-05
ACC00060,Customer_00060,checking,0.0,2023-06-16
ACC00061,Customer_00061,savings,0.0,2025-02-22
ACC00062,Customer_00062,savings,0.0,2025-07-24
ACC00063,Customer_00063,savings,0.0,2023-07-26
ACC00064,Customer_00064,checking,0.0,2024-03-31
ACC00065,Customer_00065,savings,0.0,2024-05-23
ACC00066,Customer_00066,business,0.0,2024-12-29
ACC00067,Customer_00067,business,0.0,2022-10-04
ACC00068,Customer_00068,savings,0.0,2025-08-22
ACC00069,Customer_00069,checking,0.0,2023-07-23
ACC00070,Customer_00070,business,0.0,2025-08-18
ACC00071,Customer_00071,savings,0.0,2024-10-20
