device_id,device_type
DEVSHR0001,mobile
DEVSHR0002,mobile
DEVSHR0003,atm
DEVSHR0004,desktop
DEVSHR0005,desktop
DEVSHR0006,desktop
DEVSHR0007,mobile
DEVSHR0008,mobile
DEVSHR0009,pos_terminal
DEVSHR0010,mobile
DEVSHR0011,mobile
DEVSHR0012,mobile
DEVSHR0013,desktop
DEVSHR0014,desktop
DEVSHR0015,mobile
DEVSHR0016,desktop
DEVSHR0017,pos_terminal
DEVSHR0018,desktop
DEVSHR0019,pos_terminal
DEVSHR0020,atm
DEVP00001,mobile
DEVP00002,pos_terminal
DEVP00003,mobile
DEVP00004,desktop
DEVP00005,pos_terminal
DEVP00006,pos_terminal
DEVP00007,mobile
DEVP00008,mobile
DEVP00009,mobile
DEVP00010,atm
DEVP00011,atm
DEVP00012,atm
DEVP00013,desktop
DEVP00014,desktop
DEVP00015,desktop
DEVP00016,atm
DEVP00017,atm
DEVP00018,mobile
DEVP00019,atm
DEVP00020,desktop
DEVP00021,atm
DEVP00022,mobile
DEVP00023,desktop
DEVP00024,mobile
DEVP00025,mobile
DEVP00026,desktop
DEVP00027,pos_terminal
DEVP00028,atm
DEVP00029,mobile
DEVP00030,desktop
DEVP00031,atm
DEVP00032,atm
DEVP00033,mobile
DEVP00034,desktop
DEVP00035,mobile
DEVP00036,atm
DEVP00037,desktop
DEVP00038,atm
DEVP00039,desktop
DEVP00040,mobile
DEVP00041,pos_terminal
DEVP00042,desktop
DEVP00043,desktop
DEVP00044,atm
DEVP00045,mobile
DEVP00046,atm
DEVP00047,pos_terminal
DEVP00048,atm
DEVP00049,mobile
DEVP00050,pos_terminal
DEVP00051,atm
DEVP00052,atm
DEVP00053,desktop
DEVP00054,pos_terminal
DEVP00055,pos_terminal
DEVP00056,atm
DEVP00057,desktop
DEVP00058,pos_terminal
DEVP00059,desktop
DEVP00060,pos_terminal
DEVP00061,pos_terminal
DEVP00062,pos_terminal
DEVP00063,pos_terminal
DEVP00064,atm
DEVP00065,pos_terminal
DEVP00066,pos_terminal
DEVP00067,pos_terminal
DEVP00068,pos_terminal
DEVP00069,desktop
DEVP00070,mobile
DEVP00071,atm
DEVP00072,pos_terminal
DEVP00073,atm
DEVP00074,desktop
DEVP00075,mobile
DEVP00076,mobile
DEVP00077,pos_terminal
DEVP00078,atm
DEVP00079,pos_terminal
DEVP00080,pos_terminal
DEVP00081,pos_terminal
DEVP00082,pos_terminal
DEVP00083,atm
DEVP00084,atm
DEVP00085,atm
DEVP00086,desktop
DEVP00087,pos_terminal
DEVP00088,atm
DEVP00089,atm
DEVP00090,desktop
DEVP00091,desktop
DEVP00092,mobile
DEVP00093,atm
DEVP00094,mobile
DEVP00095,mobile
DEVP00096,mobile
DEVP00097,desktop
DEVP00098,pos_terminal
DEVP00099,mobile
DEVP00100,mobile
DEVP00101,pos_terminal
DEVP00102,pos_terminal
DEVP00103,pos_terminal
DEVP00104,mobile
DEVP00105,mobile
DEVP00106,pos_terminal
DEVP00107,mobile
DEVP00108,atm
DEVP00109,desktop
DEVP00110,pos_terminal
DEVP00111,pos_terminal
DEVP00112,mobile
DEVP00113,pos_terminal
DEVP00114,mobile
DEVP00115,mobile
DEVP00116,atm
DEVP00117,pos_terminal
DEVP00118,desktop
DEVP00119,mobile
DEVP00120,mobile
DEV_SHARED_000,mobile
DEV_SHARED_001,mobile
DEV_SHARED_002,mobile
