ip,geo_location
10.194.206.2,"Chennai (13.0827,80.2707)"
10.178.108.3,"Bengaluru (12.9716,77.5946)"
10.71.39.4,"Mumbai (19.0760,72.8777)"
10.245.195.5,"Bengaluru (12.9716,77.5946)"
10.26.23.6,"Mumbai (19.0760,72.8777)"
10.24.91.7,"Delhi (28.7041,77.1025)"
10.154.67.8,"Mumbai (19.0760,72.8777)"
10.186.117.9,"Chennai (13.0827,80.2707)"
10.31.249.10,"Hyderabad (17.3850,78.4867)"
10.20.141.11,"Delhi (28.7041,77.1025)"
10.212.160.12,"Mumbai (19.0760,72.8777)"
10.226.220.13,"Hyderabad (17.3850,78.4867)"
10.147.49.14,"Mumbai (19.0760,72.8777)"
10.17.11.15,"Vellore (12.9165,79.1325)"
10.58.197.16,"Vellore (12.9165,79.1325)"
10.252.20.17,"Mumbai (19.0760,72.8777)"
10.221.25.18,"Bengaluru (12.9716,77.5946)"
10.71.116.19,"Delhi (28.7041,77.1025)"
10.213.93.20,"Vellore (12.9165,79.1325)"
10.94.90.21,"Bengaluru (12.9716,77.5946)"
10.171.68.22,"Bengaluru (12.9716,77.5946)"
10.239.174.23,"Vellore (12.9165,79.1325)"
10.18.155.24,"Vellore (12.9165,79.1325)"
10.43.136.25,"Vellore (12.9165,79.1325)"
192.168.0.183,"Bengaluru (12.9716,77.5946)"
192.168.1.84,"Delhi (28.7041,77.1025)"
192.168.2.214,"Vellore (12.9165,79.1325)"
